=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt
  - documents/esp-06.txt
  - documents/esp-07.txt
  - documents/esp-08.txt
  - documents/esp-09.txt
  - documents/esp-10.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
aprenda                           1.000000    1.000000    0.046899         13, 47
aprendi                           0.000000    1.000000    0.000000            N/A
apretados                         0.000000    0.698970    0.000000            N/A
apretamos                         0.000000    1.000000    0.000000            N/A
apretndonos                       0.000000    1.000000    0.000000            N/A
apurado                           0.000000    1.000000    0.000000            N/A
aqu                               0.000000    0.522879    0.000000            N/A
aquella                           1.000000    0.522879    0.046899          1, 18
aquél                            0.000000    1.000000    0.000000            N/A
arco                              0.000000    1.000000    0.000000            N/A
ardiendo                          0.000000    1.000000    0.000000            N/A
arena                             0.000000    1.000000    0.000000            N/A
arma                              0.000000    1.000000    0.000000            N/A
armario                           0.000000    1.000000    0.000000            N/A
armas                             0.000000    1.000000    0.000000            N/A
arranc                            0.000000    1.000000    0.000000            N/A
artilugios                        0.000000    1.000000    0.000000            N/A
as                                1.000000    0.221849    0.046899          10, 8
ascendemos                        0.000000    1.000000    0.000000            N/A
asegur                            0.000000    1.000000    0.000000            N/A
asfalto                           0.000000    1.000000    0.000000            N/A
asomaba                           1.000000    1.000000    0.046899          0, 21
asomarme                          0.000000    1.000000    0.000000            N/A
asomarse                          0.000000    1.000000    0.000000            N/A
astas                             0.000000    1.000000    0.000000            N/A
at                                0.000000    1.000000    0.000000            N/A
atarlos                           0.000000    1.000000    0.000000            N/A
atencin                           1.301030    1.000000    0.061018          1, 27
atentar                           1.000000    1.000000    0.046899          4, 35
aterirnos                         0.000000    1.000000    0.000000            N/A
atraa                             1.000000    1.000000    0.046899          3, 77
atrapados                         0.000000    1.000000    0.000000            N/A
atrevido                          0.000000    1.000000    0.000000            N/A
atropellar                        0.000000    1.000000    0.000000            N/A
atrs                              1.000000    0.698970    0.046899          4, 64
aumentaba                         0.000000    1.000000    0.000000            N/A
aun                               0.000000    1.000000    0.000000            N/A
aunque                            1.477121    0.301030    0.069276           1, 9
ausente                           0.000000    1.000000    0.000000            N/A
autobs                            0.000000    1.000000    0.000000            N/A
automvil                          0.000000    1.000000    0.000000            N/A
avanza                            0.000000    1.000000    0.000000            N/A
avanzaba                          1.000000    0.698970    0.046899           4, 3
avanzaban                         0.000000    1.000000    0.000000            N/A
avanzamos                         0.000000    1.000000    0.000000            N/A
avergonzado                       0.000000    1.000000    0.000000            N/A
avisar                            0.000000    1.000000    0.000000            N/A
axolotl                           0.000000    1.000000    0.000000            N/A
ayer                              0.000000    1.000000    0.000000            N/A
azar                              0.000000    1.000000    0.000000            N/A
aztecas                           0.000000    1.000000    0.000000            N/A
