=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
gratefully                        0.000000    0.301030    0.000000            N/A
gratitude                         1.000000    0.301030    0.056713         13, 32
ground                            1.301030    0.000000    0.073786          0, 39
grow                              1.000000    0.000000    0.056713          2, 22
guardians                         1.000000    0.000000    0.056713          2, 46
hadnt                             1.000000    0.000000    0.056713         10, 16
harmless                          1.000000    0.301030    0.056713          1, 63
head                              0.000000    0.301030    0.000000            N/A
hear                              1.000000    0.301030    0.056713           7, 5
heavy                             0.000000    0.301030    0.000000            N/A
herenot                           1.000000    0.000000    0.056713          6, 71
hide                              1.301030    0.000000    0.073786          7, 57
higher                            1.301030    0.000000    0.073786          5, 62
hold                              1.301030    0.000000    0.073786          3, 32
horizon                           0.000000    0.301030    0.000000            N/A
hurry                             0.000000    0.301030    0.000000            N/A
i                                 2.643453    0.000000    0.149919           0, 6
idea                              0.000000    0.301030    0.000000            N/A
identical                         0.000000    0.301030    0.000000            N/A
imagine                           1.000000    0.301030    0.056713          1, 34
important                         1.000000    0.301030    0.056713         12, 38
interruptions                     1.000000    0.301030    0.056713          8, 13
invisible                         0.000000    0.301030    0.000000            N/A
jot                               0.000000    0.301030    0.000000            N/A
judgment                          1.000000    0.000000    0.056713         11, 48
jump                              1.000000    0.301030    0.056713          7, 12
kind                              1.000000    0.000000    0.056713         11, 50
laid                              1.000000    0.301030    0.056713          3, 37
lake                              2.113943    0.000000    0.119889          0, 14
land                              1.000000    0.000000    0.056713           9, 2
lap                               1.000000    0.301030    0.056713          5, 21
layer                             0.000000    0.301030    0.000000            N/A
lead                              0.000000    0.301030    0.000000            N/A
leapt                             0.000000    0.301030    0.000000            N/A
learn                             1.000000    0.000000    0.056713          8, 36
leave                             1.000000    0.000000    0.056713          1, 24
life                              1.477121    0.000000    0.083772          2, 70
lift                              1.000000    0.000000    0.056713          9, 46
light                             1.301030    0.000000    0.073786          5, 55
lighter                           1.000000    0.000000    0.056713         14, 24
lingered                          0.000000    0.301030    0.000000            N/A
lock                              0.000000    0.301030    0.000000            N/A
long                              1.000000    0.000000    0.056713          3, 54
longer                            0.000000    0.301030    0.000000            N/A
lose                              1.000000    0.301030    0.056713          3, 58
loud                              1.000000    0.301030    0.056713          5, 16
mattered                          0.000000    0.301030    0.000000            N/A
meadow                            0.000000    0.301030    0.000000            N/A
measure                           1.000000    0.000000    0.056713         11, 26
mesomething                       1.000000    0.301030    0.056713         12, 29
middle                            0.000000    0.301030    0.000000            N/A
mind                              1.000000    0.000000    0.056713          4, 64
minutes                           1.000000    0.301030    0.056713          2, 94
mirror                            1.000000    0.000000    0.056713          3, 36
moment                            1.477121    0.000000    0.083772          2, 54
moments                           1.301030    0.000000    0.073786          10, 9
morning                           1.000000    0.000000    0.056713           0, 4
motion                            0.000000    0.301030    0.000000            N/A
move                              1.477121    0.000000    0.083772          6, 40
movement                          0.000000    0.301030    0.000000            N/A
narrow                            1.000000    0.000000    0.056713           2, 9
night                             1.000000    0.000000    0.056713          0, 47
noise                             1.301030    0.000000    0.073786          2, 68
noisy                             1.000000    0.000000    0.056713          8, 10
notebook                          1.602060    0.000000    0.090858          0, 57
notice                            1.602060    0.000000    0.090858          1, 14
ocean                             1.000000    0.000000    0.056713          2, 30
offer                             0.000000    0.301030    0.000000            N/A
open                              1.301030    0.000000    0.073786          2, 17
orange                            1.000000    0.301030    0.056713          0, 29
