=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
despleg                           1.000000    0.477121    0.046899          5, 28
despus                            1.301030    0.477121    0.061018           5, 1
desvanecerse                      1.000000    0.477121    0.046899          7, 26
detalle                           0.000000    0.477121    0.000000            N/A
detenido                          1.000000    0.477121    0.046899         10, 13
detiene                           0.000000    0.477121    0.000000            N/A
detuve                            1.000000    0.176091    0.046899          2, 45
diaria                            1.000000    0.477121    0.046899           8, 5
difcil                            1.000000    0.477121    0.046899          3, 58
distinguir                        1.000000    0.477121    0.046899          3, 59
distinto                          1.000000    0.176091    0.046899          13, 6
dnde                              1.301030    0.477121    0.061018          3, 60
doblaban                          0.000000    0.477121    0.000000            N/A
dorados                           1.000000    0.477121    0.046899          0, 27
durante                           0.000000    0.477121    0.000000            N/A
embargar                          0.000000    0.477121    0.000000            N/A
encontr                           1.000000    0.477121    0.046899           6, 0
encontraba                        1.000000    0.477121    0.046899          3, 33
encontrarse                       1.000000    0.477121    0.046899         13, 37
entera                            0.000000    0.477121    0.000000            N/A
envolvi                           0.000000    0.477121    0.000000            N/A
equilibrio                        1.000000    0.477121    0.046899          7, 48
esa                               1.477121    0.176091    0.069276          0, 37
esas                              1.000000    0.477121    0.046899          7, 56
escondemos                        0.000000    0.477121    0.000000            N/A
escondida                         1.000000    0.477121    0.046899         13, 41
escrib                            1.477121    0.477121    0.069276          6, 24
escriba                           1.000000    0.477121    0.046899           7, 1
escribir                          1.477121    0.477121    0.069276          0, 60
escuchando                        0.000000    0.477121    0.000000            N/A
esfuerzo                          1.000000    0.477121    0.046899         11, 18
espantarla                        1.000000    0.477121    0.046899          9, 25
espejo                            1.000000    0.176091    0.046899          3, 41
esperaba                          1.000000    0.477121    0.046899         12, 15
