=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
color                             0.000000    0.698970    0.000000            N/A
coloridas                         1.000000    0.698970    0.046899          9, 15
columna                           0.000000    0.698970    0.000000            N/A
comenz                            0.000000    0.698970    0.000000            N/A
comenzaba                         1.000000    0.221849    0.046899          3, 66
comienzo                          1.000000    0.698970    0.046899          0, 43
compar                            1.000000    0.698970    0.046899           8, 1
completamente                     1.000000    0.698970    0.046899         14, 20
completo                          0.000000    0.698970    0.000000            N/A
comprend                          1.000000    0.397940    0.046899         13, 26
conectado                         1.000000    0.698970    0.046899          3, 84
conmigo                           0.000000    0.698970    0.000000            N/A
conoc                             0.000000    0.698970    0.000000            N/A
conocera                          0.000000    0.698970    0.000000            N/A
conservaba                        1.000000    0.698970    0.046899          0, 13
constante                         1.000000    0.698970    0.046899          5, 18
contrario                         1.000000    0.698970    0.046899          4, 45
conviviendo                       1.000000    0.698970    0.046899          7, 59
cosas                             1.301030    0.221849    0.061018          6, 57
crculos                           1.000000    0.698970    0.046899          7, 23
creyendo                          0.000000    0.698970    0.000000            N/A
crujido                           0.000000    0.698970    0.000000            N/A
cruz                              0.000000    0.397940    0.000000            N/A
cruzaban                          1.000000    0.397940    0.046899          4, 12
cruzan                            0.000000    0.397940    0.000000            N/A
cuaderno                          1.602060    0.397940    0.075136          0, 51
cualquier                         1.000000    0.698970    0.046899         13, 39
cubierto                          1.000000    0.397940    0.046899          2, 17
cuenta                            0.000000    0.221849    0.000000            N/A
cuidado                           0.000000    0.698970    0.000000            N/A
cuntas                            0.000000    0.698970    0.000000            N/A
cuntos                            1.000000    0.698970    0.046899         10, 22
curiosidad                        0.000000    0.698970    0.000000            N/A
da                                1.301030    0.096910    0.061018          0, 45
danza                             0.000000    0.698970    0.000000            N/A
darnos                            0.000000    0.698970    0.000000            N/A
de                                2.505150    0.000000    0.117490          0, 16
deba                              1.000000    0.698970    0.046899          12, 5
debajo                            1.000000    0.698970    0.046899          8, 22
debe                              0.000000    0.698970    0.000000            N/A
decid                             1.000000    0.698970    0.046899           0, 6
decir                             0.000000    0.221849    0.000000            N/A
dedos                             0.000000    0.698970    0.000000            N/A
dej                               1.000000    0.221849    0.046899         14, 44
dejaba                            1.000000    0.698970    0.046899         11, 24
dejado                            1.000000    0.698970    0.046899          4, 63
dejando                           0.000000    0.397940    0.000000            N/A
dejo                              1.000000    0.698970    0.046899         10, 27
demasiada                         1.000000    0.698970    0.046899          1, 52
demasiado                         1.000000    0.397940    0.046899         10, 31
denso                             0.000000    0.698970    0.000000            N/A
derecha                           1.000000    0.698970    0.046899          2, 31
desapareca                        0.000000    0.698970    0.000000            N/A
desaparecer                       1.000000    0.397940    0.046899          7, 11
desapareci                        1.000000    0.397940    0.046899          9, 34
descansar                         0.000000    0.698970    0.000000            N/A
deseo                             0.000000    0.698970    0.000000            N/A
deshizo                           0.000000    0.698970    0.000000            N/A
deslizaba                         0.000000    0.698970    0.000000            N/A
despacio                          1.301030    0.221849    0.061018          6, 53
despejado                         0.000000    0.698970    0.000000            N/A
despertada                        0.000000    0.698970    0.000000            N/A
despertar                         1.000000    0.698970    0.046899         14, 21
despleg                           1.000000    0.698970    0.046899          5, 28
despus                            1.301030    0.397940    0.061018           5, 1
destino                           0.000000    0.397940    0.000000            N/A
desvanecerse                      1.000000    0.698970    0.046899          7, 26
desvanecieron                     0.000000    0.698970    0.000000            N/A
detalle                           0.000000    0.698970    0.000000            N/A
detenido                          1.000000    0.698970    0.046899         10, 13
detiene                           0.000000    0.397940    0.000000            N/A
detuve                            1.000000    0.221849    0.046899          2, 45
detuvo                            0.000000    0.397940    0.000000            N/A
diaria                            1.000000    0.698970    0.046899           8, 5
diera                             0.000000    0.698970    0.000000            N/A
difcil                            1.000000    0.698970    0.046899          3, 58
distancia                         0.000000    0.698970    0.000000            N/A
distinguir                        1.000000    0.698970    0.046899          3, 59
distinta                          0.000000    0.698970    0.000000            N/A
distinto                          1.000000    0.397940    0.046899          13, 6
dnde                              1.301030    0.397940    0.061018          3, 60
doblaban                          0.000000    0.698970    0.000000            N/A
dorados                           1.000000    0.698970    0.046899          0, 27
dorma                             0.000000    0.698970    0.000000            N/A
duda                              0.000000    0.698970    0.000000            N/A
duela                             0.000000    0.698970    0.000000            N/A
durante                           0.000000    0.397940    0.000000            N/A
eco                               0.000000    0.698970    0.000000            N/A
edificios                         0.000000    0.698970    0.000000            N/A
elegir                            0.000000    0.698970    0.000000            N/A
elevaba                           0.000000    0.698970    0.000000            N/A
embargar                          0.000000    0.397940    0.000000            N/A
