=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt
  - documents/document-03.txt
  - documents/document-04.txt
  - documents/document-05.txt
  - documents/document-06.txt
  - documents/document-07.txt
  - documents/document-08.txt
  - documents/document-09.txt
  - documents/document-10.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
disappear                         1.000000    0.154902    0.056713          9, 50
discover                          0.000000    0.698970    0.000000            N/A
distractions                      1.000000    1.000000    0.056713          8, 16
disturb                           1.000000    0.522879    0.056713          1, 50
doesnt                            0.000000    1.000000    0.000000            N/A
dragonfly                         1.301030    0.000000    0.073786           9, 1
draw                              0.000000    0.154902    0.000000            N/A
drift                             0.000000    0.397940    0.000000            N/A
earlier                           1.000000    1.000000    0.056713         13, 14
early                             0.000000    0.522879    0.000000            N/A
earth                             1.301030    0.096910    0.073786          3, 41
earthy                            0.000000    1.000000    0.000000            N/A
easier                            0.000000    0.522879    0.000000            N/A
easily                            1.000000    0.522879    0.056713          6, 26
easy                              1.000000    0.522879    0.056713          2, 63
echo                              0.000000    1.000000    0.000000            N/A
edge                              1.000000    0.000000    0.056713           9, 5
effort                            0.000000    0.522879    0.000000            N/A
emptiness                         1.000000    0.154902    0.056713          7, 40
empty                             0.000000    0.522879    0.000000            N/A
endless                           0.000000    0.698970    0.000000            N/A
endlessly                         0.000000    1.000000    0.000000            N/A
erased                            0.000000    1.000000    0.000000            N/A
eventually                        1.301030    0.045757    0.073786           5, 0
evergreen                         0.000000    1.000000    0.000000            N/A
everyday                          0.000000    0.698970    0.000000            N/A
exist                             1.301030    0.221849    0.073786         11, 39
existedand                        0.000000    1.000000    0.000000            N/A
expect                            0.000000    1.000000    0.000000            N/A
eye                               0.000000    1.000000    0.000000            N/A
fade                              1.000000    0.096910    0.056713          7, 26
fail                              0.000000    0.698970    0.000000            N/A
failure                           0.000000    0.221849    0.000000            N/A
faint                             1.000000    0.698970    0.056713          0, 26
faintest                          1.000000    1.000000    0.056713          1, 28
familiar                          1.000000    0.221849    0.056713           1, 6
fast                              0.000000    0.397940    0.000000            N/A
fastmoving                        0.000000    1.000000    0.000000            N/A
